"nodeId","D",
"O1JC76301JC7693","1169",
"O1JC76301JC11017","4240",
"O1JC76301JC9179","2576",
"O1JC76301JC8310","1757",
"O1JC76301JC8804","2224",
"O1JC76301JC9066","2482",
"O1JC76301JC9422","2806",
"O1JC76301JC9898","3272",
"O1JC76301JC9683","3063",
"O1JC76301JC10133","3506",
"O1JC76301JC10393","3763;4527",
"O1JC76301JC7656","1132",
"O1JC76301JC10958","4203",
"O1JC76301JC10667","3994",
"O1JC76301JC7929","1389",
"O1JC76301JC8273","1720",
"O1JC76301JC8550","1976",
"O1JC76301JC9029","2445",
"O1JC76301JC8172","1622",
"O1JC76301JC9646","3026",
"O1JC76301JC8450","1879",
"O1JC76301JC9763","3140",
"O1JC76301JC10356","3726",
"O1JC76301JC9999","3372",
"O1JC76301JC10919","4167",
"O1JC76301JC10258","3631",
"O1JC76301JC7890","1352",
"O1JC76301JC112731JC21805","4460",
"O1JC76301JC10775","4073",
"O1JC76301JC8992","2408",
"O1JC76301JC7787","1254",
"O1JC76301JC11121","4324",
"O1JC76301JC9270","2663;cf.494",
"O1JC76301JC8407","1843",
"O1JC76301JC9727","3105",
"O1JC76301JC9510","2893",
"O1JC76301JC9986","3359",
"O1JC76301JC10221","3594",
"O1JC76301JC10500","3847",
"O1JC76301JC7749","1217",
"O1JC76301JC11074","4289",
"O1JC76301JC9232","2627",
"O1JC76301JC8022","1475",
"O1JC76301JC8367","1806",
"O1JC76301JC9497","2880-2",
"O1JC76301JC8639","2062",
"O1JC76301JC9130","2532",
"O1JC76301JC9851","3227",
"O1JC76301JC10460","3811",
"O1JC76301JC8843","2261",
"O1JC76301JC7984","1438",
"O1JC76301JC8250","1697",
"O1JC76301JC8743","2162",
"O1JC76301JC9080","2496",
"O1JC76301JC9362","2746",
"O1JC76301JC8503","1929",
"O1JC76301JC9813","3190",
"O1JC76301JC9599","2979",
"O1JC76301JC10073","3446",
"O1JC76301JC10407","3777",
"O1JC76301JC10717","4031",
"O1JC76301JC10308","3680",
"O1JC76301JC10889","4146",
"O1JC76301JC10603","3935",
"O1JC76301JC8211","1660",
"O1JC76301JC8706","2127",
"O1JC76301JC7839","1305",
"O1JC76301JC111771JC21714","4372",
"O1JC76301JC8969","2385",
"O1JC76301JC9325","2712",
"O1JC76301JC8111","1563",
"O1JC76301JC9586","2966",
"O1JC76301JC10036","3409",
"O1JC76301JC10295","3667",
"O1JC76301JC9939","3312",
"O1JC76301JC10838","4109",
"O1JC76301JC10565","2898",
"O1JC76301JC7826","1292",
"O1JC76301JC8932","2348",
"O1JC76301JC7724","1194",
"O1JC76301JC8074","1526",
"O1JC76301JC9450","2834",
"O1JC76301JC8592","2016",
"O1JC76301JC9902","3276",
"O1JC76301JC10161","3534",
"O1JC76301JC8894","2311",
"O1JC76301JC7684","1160",
"O1JC76301JC11007","4231",
"O1JC76301JC9170","2567",
"O1JC76301JC8301","1748",
"O1JC76301JC8795","2216",
"O1JC76301JC112171JC21754","4411",
"O1JC76301JC9057","2473",
"O1JC76301JC9413","2797",
"O1JC76301JC9674","3054",
"O1JC76301JC9790","3167",
"O1JC76301JC10124","3497",
"O1JC76301JC10384","3754",
"O1JC76301JC7647","1123",
"O1JC76301JC10948","4195",
"O1JC76301JC10657","3985;4552",
"O1JC76301JC7919","1380",
"O1JC76301JC112041JC21741","4399",
"O1JC76301JC9020","2436",
"O1JC76301JC8163","1613",
"O1JC76301JC9637","3017",
"O1JC76301JC8440","1870",
"O1JC76301JC9755","3133",
"O1JC76301JC9538","2920",
"O1JC76301JC10346","3717",
"O1JC76301JC10249","3622",
"O1JC76301JC7877","1343",
"O1JC76301JC8150","1601",
"O1JC76301JC10764","4064",
"O1JC76301JC8983","2399",
"O1JC76301JC7778","1245",
"O1JC76301JC11112","4315",
"O1JC76301JC9261","2655",
"O1JC76301JC8396","1834",
"O1JC76301JC8667","2089",
"O1JC76301JC9717","3097",
"O1JC76301JC9501","2884",
"O1JC76301JC9977","3350",
"O1JC76301JC9879","3253",
"O1JC76301JC10212","3585",
"O1JC76301JC10490","3838",
"O1JC76301JC7740","1208",
"O1JC76301JC11063","4280",
"O1JC76301JC8871","2289",
"O1JC76301JC8013","1466",
"O1JC76301JC8630","2053",
"O1JC76301JC9120","2523",
"O1JC76301JC8254","1701",
"O1JC76301JC9390","2774",
"O1JC76301JC8531","1957",
"O1JC76301JC9841","3218",
"O1JC76301JC10446","3803",
"O1JC76301JC10759","4059",
"O1JC76301JC8833","2252",
"O1JC76301JC7975","1429",
"O1JC76301JC8241","1688",
"O1JC76301JC8734","2153",
"O1JC76301JC112531JC21786","4441",
"O1JC76301JC9353","2738",
"O1JC76301JC8493","1920",
"O1JC76301JC9804","3181",
"O1JC76301JC10064","3437",
"O1JC76301JC10880","4137",
"O1JC76301JC10299","3671",
"O1JC76301JC10594","3926;4532",
"O1JC76301JC8697","2118",
"O1JC76301JC111671JC21705","4363",
"O1JC76301JC8960","2376",
"O1JC76301JC9316","2703",
"O1JC76301JC8102","1554",
"O1JC76301JC9577","2957",
"O1JC76301JC9212","2609",
"O1JC76301JC10027","3400",
"O1JC76301JC9478","2862",
"O1JC76301JC10286","3659",
"O1JC76301JC9930","3304",
"O1JC76301JC10189","3562",
"O1JC76301JC10554","3889",
"O1JC76301JC7817","1283",
"O1JC76301JC8922","2339",
"O1JC76301JC7713","1185",
"O1JC76301JC8065","1517",
"O1JC76301JC8329","1776",
"O1JC76301JC9441","2825",
"O1JC76301JC8582","2008???",
"O1JC76301JC10152","3525",
"O1JC76301JC7675","1151",
"O1JC76301JC10985","4222",
"O1JC76301JC10689","4013",
"O1JC76301JC8292","1739",
"O1JC76301JC8786","2207",
"O1JC76301JC8569","1995",
"O1JC76301JC112081JC21745","4402",
"O1JC76301JC9048","2464",
"O1JC76301JC9404","2788",
"O1JC76301JC8191","1641",
"O1JC76301JC9665","3045",
"O1JC76301JC9781","3158",
"O1JC76301JC10115","3488",
"O1JC76301JC10375","3745",
"O1JC76301JC7638","1114",
"O1JC76301JC10939","4186",
"O1JC76301JC8773","2194",
"O1JC76301JC10647","3977;4489",
"O1JC76301JC7910","1371",
"O1JC76301JC111951JC21732","4390",
"O1JC76301JC10798","4091",
"O1JC76301JC9011","2427",
"O1JC76301JC11141","4342",
"O1JC76301JC8154","1605",
"O1JC76301JC9291","2681",
"O1JC76301JC9628","3008",
"O1JC76301JC8430","1861",
"O1JC76301JC9746","3124",
"O1JC76301JC9529","2911",
"O1JC76301JC10240","3613",
"O1JC76301JC7769","1236",
"O1JC76301JC11095","4307",
"O1JC76301JC9252","2646",
"O1JC76301JC8041","1494",
"O1JC76301JC8386","1825",
"O1JC76301JC8875","2293",
"O1JC76301JC8658","2081",
"O1JC76301JC9708","3088",
"O1JC76301JC9151","2548",
"O1JC76301JC9968","3341",
"O1JC76301JC9870","3245-2",
"O1JC76301JC10203","3576",
"O1JC76301JC10481","3829",
"O1JC76301JC11054","4271",
"O1JC76301JC8862","2280",
"O1JC76301JC8004","1457",
"O1JC76301JC8621","2045",
"O1JC76301JC9110","2514",
"O1JC76301JC9381","2765",
"O1JC76301JC8522","1948",
"O1JC76301JC9832","3209",
"O1JC76301JC10092","3465",
"O1JC76301JC10434","3794",
"O1JC76301JC10748","4050",
"O1JC76301JC10327","3699",
"O1JC76301JC7966","1420",
"O1JC76301JC10623","3954;4479",
"O1JC76301JC8231","1679",
"O1JC76301JC8725","2144",
"O1JC76301JC7858","1324",
"O1JC76301JC112441JC21777","4432",
"O1JC76301JC9344","2731",
"O1JC76301JC8131","1582",
"O1JC76301JC8484","1912",
"O1JC76301JC10055","3428",
"O1JC76301JC10871","4128",
"O1JC76301JC10585","3917",
"O1JC76301JC8688","2109",
"O1JC76301JC111551JC21696","4354",
"O1JC76301JC8951","2367",
"O1JC76301JC9307","2694/526",
"O1JC76301JC8093","1545",
"O1JC76301JC9568","2948",
"O1JC76301JC9203","2599",
"O1JC76301JC9469","2853",
"O1JC76301JC9921","3295",
"O1JC76301JC10180","3553",
"O1JC76301JC10544","3880",
"O1JC76301JC8913","2330",
"O1JC76301JC7703","1179",
"O1JC76301JC11027","4250",
"O1JC76301JC8055","1508",
"O1JC76301JC9189","2586",
"O1JC76301JC8320","1767",
"O1JC76301JC8814","2234",
"O1JC76301JC9432","2816",
"O1JC76301JC8573","1999",
